"ICD10Code","ICD10Description","Comorbidity"
"F40.240","Claustrophobia","Anxiety"
"F40.241","Acrophobia","Anxiety"
"F40.242","Fear of bridges","Anxiety"
"F40.243","Fear of flying","Anxiety"
"F40.248","Other situational type phobia","Anxiety"
"F40.290","Androphobia","Anxiety"
"F40.291","Gynephobia","Anxiety"
"F40.298","Other specified phobia","Anxiety"
"F40.8","Other phobic anxiety disorders","Anxiety"
"F40.9","Phobic anxiety disorder, unspecified","Anxiety"
"F41.0","Panic disorder [episodic paroxysmal anxiety]","Anxiety"
"F41.1","Generalized anxiety disorder","Anxiety"
"F41.3","Other mixed anxiety disorders","Anxiety"
"F41.8","Other specified anxiety disorders","Anxiety"
"F41.9","Anxiety disorder, unspecified","Anxiety"
"F42.2","Mixed obsessional thoughts and acts","Anxiety"
"F42.3","Hoarding disorder","Anxiety"
"F42.4","Excoriation (skin-picking) disorder","Anxiety"
"F42.8","Other obsessive-compulsive disorder","Anxiety"
"F42.9","Obsessive-compulsive disorder, unspecified","Anxiety"
"F45.0","Somatization disorder","Anxiety"
"F45.1","Undifferentiated somatoform disorder","Anxiety"
"F45.20","Hypochondriacal disorder, unspecified","Anxiety"
"F45.21","Hypochondriasis","Anxiety"
"F45.22","Body dysmorphic disorder","Anxiety"
"F45.29","Other hypochondriacal disorders","Anxiety"
"F45.8","Other somatoform disorders","Anxiety"
"F45.9","Somatoform disorder, unspecified","Anxiety"
"F63.3","Trichotillomania","Anxiety"
"F30.10","Manic episode without psychotic symptoms, unspecified","Bipolar"
"F30.11","Manic episode without psychotic symptoms, mild","Bipolar"
"F30.12","Manic episode without psychotic symptoms, moderate","Bipolar"
"F30.13","Manic episode, severe, without psychotic symptoms","Bipolar"
"F30.2","Manic episode, severe with psychotic symptoms","Bipolar"
"F30.3","Manic episode in partial remission","Bipolar"
"F30.4","Manic episode in full remission","Bipolar"
"F30.8","Other manic episodes","Bipolar"
"F30.9","Manic episode, unspecified","Bipolar"
"F31.0","Bipolar disorder, current episode hypomanic","Bipolar"
"F31.10","Bipolar disorder, current episode manic without psychotic features, unspecified","Bipolar"
"F31.11","Bipolar disorder, current episode manic without psychotic features, mild","Bipolar"
"F31.12","Bipolar disorder, current episode manic without psychotic features, moderate","Bipolar"
"F31.13","Bipolar disorder, current episode manic without psychotic features, severe","Bipolar"
"F31.2","Bipolar disorder, current episode manic severe with psychotic features","Bipolar"
"F31.30","Bipolar disorder, current episode depressed, mild or moderate severity, unspecified","Bipolar"
"F31.31","Bipolar disorder, current episode depressed, mild","Bipolar"
"F31.32","Bipolar disorder, current episode depressed, moderate","Bipolar"
"F31.4","Bipolar disorder, current episode depressed, severe, without psychotic features","Bipolar"
"F31.5","Bipolar disorder, current episode depressed, severe, with psychotic features","Bipolar"
"F31.60","Bipolar disorder, current episode mixed, unspecified","Bipolar"
"F31.61","Bipolar disorder, current episode mixed, mild","Bipolar"
"F31.62","Bipolar disorder, current episode mixed, moderate","Bipolar"
"F31.63","Bipolar disorder, current episode mixed, severe, without psychotic features","Bipolar"
"F31.64","Bipolar disorder, current episode mixed, severe, with psychotic features","Bipolar"
"F31.70","Bipolar disorder, currently in remission, most recent episode unspecified","Bipolar"
"F31.71","Bipolar disorder, in partial remission, most recent episode hypomanic","Bipolar"
"F31.72","Bipolar disorder, in full remission, most recent episode hypomanic","Bipolar"
"F31.73","Bipolar disorder, in partial remission, most recent episode manic","Bipolar"
"F31.74","Bipolar disorder, in full remission, most recent episode manic","Bipolar"
"F31.75","Bipolar disorder, in partial remission, most recent episode depressed","Bipolar"
"F31.76","Bipolar disorder, in full remission, most recent episode depressed","Bipolar"
"F31.77","Bipolar disorder, in partial remission, most recent episode mixed","Bipolar"
"F31.78","Bipolar disorder, in full remission, most recent episode mixed","Bipolar"
"F31.81","Bipolar II disorder","Bipolar"
"F31.89","Other bipolar disorder","Bipolar"
"F31.9","Bipolar disorder, unspecified","Bipolar"
"F34.0","Cyclothymic disorder","Bipolar"
"F06.31","Mood disorder due to known physiological condition with depressive features","Depression"
"F06.32","Mood disorder due to known physiological condition with major depressive-like episode","Depression"
"F32.0","Major depressive disorder, single episode, mild","Depression"
"F32.1","Major depressive disorder, single episode, moderate","Depression"
"F32.2","Major depressive disorder, single episode, severe without psychotic features","Depression"
"F32.3","Major depressive disorder, single episode, severe with psychotic features","Depression"
"F32.4","Major depressive disorder, single episode, in partial remission","Depression"
"F32.5","Major depressive disorder, single episode, in full remission","Depression"
"F32.8","Other Depressive Episodes","Depression"
"F32.81","Premenstrual dysphoric disorder","Depression"
"F32.89","Other specified depressive episodes","Depression"
"F32.9","Major depressive disorder, single episode, unspecified","Depression"
"F33.0","Major depressive disorder, recurrent, mild","Depression"
"F33.1","Major depressive disorder, recurrent, moderate","Depression"
"F33.2","Major depressive disorder, recurrent severe without psychotic features","Depression"
"F33.3","Major depressive disorder, recurrent, severe with psychotic symptoms","Depression"
"F33.40","Major depressive disorder, recurrent, in remission, unspecified","Depression"
"F33.41","Major depressive disorder, recurrent, in partial remission","Depression"
"F33.42","Major depressive disorder, recurrent, in full remission","Depression"
"F33.8","Other recurrent depressive disorders","Depression"
"F33.9","Major depressive disorder, recurrent, unspecified","Depression"
"F34.1","Dysthymic disorder","Depression"
"F11.10","Opioid abuse, uncomplicated","DrugAbuse"
"F11.120","Opioid abuse with intoxication, uncomplicated","DrugAbuse"
"F11.121","Opioid abuse with intoxication delirium","DrugAbuse"
"F11.122","Opioid abuse with intoxication with perceptual disturbance","DrugAbuse"
"F11.129","Opioid abuse with intoxication, unspecified","DrugAbuse"
"F11.14","Opioid abuse with opioid-induced mood disorder","DrugAbuse"
"F11.151","Opioid abuse with opioid-induced psychotic disorder with hallucinations","DrugAbuse"
"F11.159","Opioid abuse with opioid-induced psychotic disorder, unspecified","DrugAbuse"
"F11.181","Opioid abuse with opioid-induced sexual dysfunction","DrugAbuse"
"F11.182","Opioid abuse with opioid-induced sleep disorder","DrugAbuse"
"F11.188","Opioid abuse with other opioid-induced disorder","DrugAbuse"
"F11.19","Opioid abuse with unspecified opioid-induced disorder","DrugAbuse"
"F12.10","Cannabis abuse, uncomplicated","DrugAbuse"
"F12.120","Cannabis abuse with intoxication, uncomplicated","DrugAbuse"
"F12.121","Cannabis abuse with intoxication delirium","DrugAbuse"
"F12.122","Cannabis abuse with intoxication with perceptual disturbance","DrugAbuse"
"F12.129","Cannabis abuse with intoxication, unspecified","DrugAbuse"
"F12.150","Cannabis abuse with psychotic disorder with delusions","DrugAbuse"
"F12.151","Cannabis abuse with psychotic disorder with hallucinations","DrugAbuse"
"F12.159","Cannabis abuse with psychotic disorder, unspecified","DrugAbuse"
"F12.180","Cannabis abuse with cannabis-induced anxiety disorder","DrugAbuse"
"F12.188","Cannabis abuse with other cannabis-induced disorder","DrugAbuse"
"F12.19","Cannabis abuse with unspecified cannabis-induced disorder","DrugAbuse"
"F13.10","Sedative, hypnotic or anxiolytic abuse, uncomplicated","DrugAbuse"
"F13.120","Sedative, hypnotic or anxiolytic abuse with intoxication, uncomplicated","DrugAbuse"
"F13.121","Sedative, hypnotic or anxiolytic abuse with intoxication delirium","DrugAbuse"
"F13.129","Sedative, hypnotic or anxiolytic abuse with intoxication, unspecified","DrugAbuse"
"F13.14","Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced mood disorder","DrugAbuse"
"F13.150","Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced psychotic disorder with delusions","DrugAbuse"
"F13.151","Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced psychotic disorder with hallucinations","DrugAbuse"
"F13.159","Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced psychotic disorder, unspecified","DrugAbuse"
"F13.180","Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced anxiety disorder","DrugAbuse"
"F13.181","Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced sexual dysfunction","DrugAbuse"
"F13.182","Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced sleep disorder","DrugAbuse"
"F13.188","Sedative, hypnotic or anxiolytic abuse with other sedative, hypnotic or anxiolytic-induced disorder","DrugAbuse"
"F13.19","Sedative, hypnotic or anxiolytic abuse with unspecified sedative, hypnotic or anxiolytic-induced disorder","DrugAbuse"
"F14.10","Cocaine abuse, uncomplicated","DrugAbuse"
"F14.120","Cocaine abuse with intoxication, uncomplicated","DrugAbuse"
"F14.121","Cocaine abuse with intoxication with delirium","DrugAbuse"
"F14.122","Cocaine abuse with intoxication with perceptual disturbance","DrugAbuse"
"F14.129","Cocaine abuse with intoxication, unspecified","DrugAbuse"
"F14.14","Cocaine abuse with cocaine-induced mood disorder","DrugAbuse"
"F14.150","Cocaine abuse with cocaine-induced psychotic disorder with delusions","DrugAbuse"
"F14.151","Cocaine abuse with cocaine-induced psychotic disorder with hallucinations","DrugAbuse"
"F14.159","Cocaine abuse with cocaine-induced psychotic disorder, unspecified","DrugAbuse"
"F14.180","Cocaine abuse with cocaine-induced anxiety disorder","DrugAbuse"
"F14.181","Cocaine abuse with cocaine-induced sexual dysfunction","DrugAbuse"
"F14.182","Cocaine abuse with cocaine-induced sleep disorder","DrugAbuse"
"F14.188","Cocaine abuse with other cocaine-induced disorder","DrugAbuse"
"F14.19","Cocaine abuse with unspecified cocaine-induced disorder","DrugAbuse"
"F15.10","Other stimulant abuse, uncomplicated","DrugAbuse"
"F15.120","Other stimulant abuse with intoxication, uncomplicated","DrugAbuse"
"F15.121","Other stimulant abuse with intoxication delirium","DrugAbuse"
"F15.122","Other stimulant abuse with intoxication with perceptual disturbance","DrugAbuse"
"F15.129","Other stimulant abuse with intoxication, unspecified","DrugAbuse"
"F15.14","Other stimulant abuse with stimulant-induced mood disorder","DrugAbuse"
"F15.150","Other stimulant abuse with stimulant-induced psychotic disorder with delusions","DrugAbuse"
"F15.151","Other stimulant abuse with stimulant-induced psychotic disorder with hallucinations","DrugAbuse"
"F15.159","Other stimulant abuse with stimulant-induced psychotic disorder, unspecified","DrugAbuse"
"F15.180","Other stimulant abuse with stimulant-induced anxiety disorder","DrugAbuse"
"F15.181","Other stimulant abuse with stimulant-induced sexual dysfunction","DrugAbuse"
"F15.182","Other stimulant abuse with stimulant-induced sleep disorder","DrugAbuse"
"F15.188","Other stimulant abuse with other stimulant-induced disorder","DrugAbuse"
"F15.19","Other stimulant abuse with unspecified stimulant-induced disorder","DrugAbuse"
"F16.10","Hallucinogen abuse, uncomplicated","DrugAbuse"
"F16.120","Hallucinogen abuse with intoxication, uncomplicated","DrugAbuse"
"F16.121","Hallucinogen abuse with intoxication with delirium","DrugAbuse"
"F16.122","Hallucinogen abuse with intoxication with perceptual disturbance","DrugAbuse"
"F16.129","Hallucinogen abuse with intoxication, unspecified","DrugAbuse"
"F16.14","Hallucinogen abuse with hallucinogen-induced mood disorder","DrugAbuse"
"F16.150","Hallucinogen abuse with hallucinogen-induced psychotic disorder with delusions","DrugAbuse"
"F16.151","Hallucinogen abuse with hallucinogen-induced psychotic disorder with hallucinations","DrugAbuse"
"F16.159","Hallucinogen abuse with hallucinogen-induced psychotic disorder, unspecified","DrugAbuse"
"F16.180","Hallucinogen abuse with hallucinogen-induced anxiety disorder","DrugAbuse"
"F16.183","Hallucinogen abuse with hallucinogen persisting perception disorder (flashbacks)","DrugAbuse"
"F16.188","Hallucinogen abuse with other hallucinogen-induced disorder","DrugAbuse"
"F16.19","Hallucinogen abuse with unspecified hallucinogen-induced disorder","DrugAbuse"
"F18.10","Inhalant abuse, uncomplicated","DrugAbuse"
"F18.120","Inhalant abuse with intoxication, uncomplicated","DrugAbuse"
"F18.129","Inhalant abuse with intoxication, unspecified","DrugAbuse"
"F18.14","Inhalant abuse with inhalant-induced mood disorder","DrugAbuse"
"F18.150","Inhalant abuse with inhalant-induced psychotic disorder with delusions","DrugAbuse"
"F18.151","Inhalant abuse with inhalant-induced psychotic disorder with hallucinations","DrugAbuse"
"F18.159","Inhalant abuse with inhalant-induced psychotic disorder, unspecified","DrugAbuse"
"F18.180","Inhalant abuse with inhalant-induced anxiety disorder","DrugAbuse"
"F18.188","Inhalant abuse with other inhalant-induced disorder","DrugAbuse"
"F18.19","Inhalant abuse with unspecified inhalant-induced disorder","DrugAbuse"
"F19.10","Other psychoactive substance abuse, uncomplicated","DrugAbuse"
"F19.120","Other psychoactive substance abuse with intoxication, uncomplicated","DrugAbuse"
"F19.121","Other psychoactive substance abuse with intoxication delirium","DrugAbuse"
"F19.122","Other psychoactive substance abuse with intoxication with perceptual disturbances","DrugAbuse"
"F19.129","Other psychoactive substance abuse with intoxication, unspecified","DrugAbuse"
"F19.14","Other psychoactive substance abuse with psychoactive substance-induced mood disorder","DrugAbuse"
"F19.150","Other psychoactive substance abuse with psychoactive substance-induced psychotic disorder with delusions","DrugAbuse"
"F19.151","Other psychoactive substance abuse with psychoactive substance-induced psychotic disorder with hallucinations","DrugAbuse"
"F19.159","Other psychoactive substance abuse with psychoactive substance-induced psychotic disorder, unspecified","DrugAbuse"
"F19.16","Other psychoactive substance abuse with psychoactive substance-induced persisting amnestic disorder","DrugAbuse"
"F19.17","Other psychoactive substance abuse with psychoactive substance-induced persisting dementia","DrugAbuse"
"F19.180","Other psychoactive substance abuse with psychoactive substance-induced anxiety disorder","DrugAbuse"
"F19.181","Other psychoactive substance abuse with psychoactive substance-induced sexual dysfunction","DrugAbuse"
"F19.182","Other psychoactive substance abuse with psychoactive substance-induced sleep disorder","DrugAbuse"
"F19.188","Other psychoactive substance abuse with other psychoactive substance-induced disorder","DrugAbuse"
"F19.19","Other psychoactive substance abuse with unspecified psychoactive substance-induced disorder","DrugAbuse"
"F11.20","Opioid dependence, uncomplicated","DrugDependence"
"F11.21","Opioid dependence, in remission","DrugDependence"
"F11.220","Opioid dependence with intoxication, uncomplicated","DrugDependence"
"F11.221","Opioid dependence with intoxication delirium","DrugDependence"
"F11.222","Opioid dependence with intoxication with perceptual disturbance","DrugDependence"
"F11.229","Opioid dependence with intoxication, unspecified","DrugDependence"
"F11.23","Opioid dependence with withdrawal","DrugDependence"
"F11.24","Opioid dependence with opioid-induced mood disorder","DrugDependence"
"F11.250","Opioid dependence with opioid-induced psychotic disorder with delusions","DrugDependence"
"F11.251","Opioid dependence with opioid-induced psychotic disorder with hallucinations","DrugDependence"
"F11.259","Opioid dependence with opioid-induced psychotic disorder, unspecified","DrugDependence"
"F11.281","Opioid dependence with opioid-induced sexual dysfunction","DrugDependence"
"F11.282","Opioid dependence with opioid-induced sleep disorder","DrugDependence"
"F11.288","Opioid dependence with other opioid-induced disorder","DrugDependence"
"F11.29","Opioid dependence with unspecified opioid-induced disorder","DrugDependence"
"F12.20","Cannabis dependence, uncomplicated","DrugDependence"
"F12.21","Cannabis dependence, in remission","DrugDependence"
"F12.220","Cannabis dependence with intoxication, uncomplicated","DrugDependence"
"F12.221","Cannabis dependence with intoxication delirium","DrugDependence"
"F12.222","Cannabis dependence with intoxication with perceptual disturbance","DrugDependence"
"F12.229","Cannabis dependence with intoxication, unspecified","DrugDependence"
"F12.250","Cannabis dependence with psychotic disorder with delusions","DrugDependence"
"F12.251","Cannabis dependence with psychotic disorder with hallucinations","DrugDependence"
"F12.259","Cannabis dependence with psychotic disorder, unspecified","DrugDependence"
"F12.280","Cannabis dependence with cannabis-induced anxiety disorder","DrugDependence"
"F12.288","Cannabis dependence with other cannabis-induced disorder","DrugDependence"
"F12.29","Cannabis dependence with unspecified cannabis-induced disorder","DrugDependence"
"F13.20","Sedative, hypnotic or anxiolytic dependence, uncomplicated","DrugDependence"
"F13.21","Sedative, hypnotic or anxiolytic dependence, in remission","DrugDependence"
"F13.220","Sedative, hypnotic or anxiolytic dependence with intoxication, uncomplicated","DrugDependence"
"F13.221","Sedative, hypnotic or anxiolytic dependence with intoxication delirium","DrugDependence"
"F13.229","Sedative, hypnotic or anxiolytic dependence with intoxication, unspecified","DrugDependence"
"F13.230","Sedative, hypnotic or anxiolytic dependence with withdrawal, uncomplicated","DrugDependence"
"F13.231","Sedative, hypnotic or anxiolytic dependence with withdrawal delirium","DrugDependence"
"F13.232","Sedative, hypnotic or anxiolytic dependence with withdrawal with perceptual disturbance","DrugDependence"
"F13.239","Sedative, hypnotic or anxiolytic dependence with withdrawal, unspecified","DrugDependence"
"F13.24","Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced mood disorder","DrugDependence"
"F13.250","Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced psychotic disorder with delusions","DrugDependence"
"F13.251","Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced psychotic disorder with hallucinations","DrugDependence"
"F13.259","Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced psychotic disorder, unspecified","DrugDependence"
"F13.26","Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced persisting amnestic disorder","DrugDependence"
"F13.27","Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced persisting dementia","DrugDependence"
"F13.280","Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced anxiety disorder","DrugDependence"
"F13.282","Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced sleep disorder","DrugDependence"
"F13.288","Sedative, hypnotic or anxiolytic dependence with other sedative, hypnotic or anxiolytic-induced disorder","DrugDependence"
"F13.29","Sedative, hypnotic or anxiolytic dependence with unspecified sedative, hypnotic or anxiolytic-induced disorder","DrugDependence"
"F14.20","Cocaine dependence, uncomplicated","DrugDependence"
"F14.21","Cocaine dependence, in remission","DrugDependence"
"F14.220","Cocaine dependence with intoxication, uncomplicated","DrugDependence"
"F14.221","Cocaine dependence with intoxication delirium","DrugDependence"
"F14.222","Cocaine dependence with intoxication with perceptual disturbance","DrugDependence"
"F14.229","Cocaine dependence with intoxication, unspecified","DrugDependence"
"F14.23","Cocaine dependence with withdrawal","DrugDependence"
"F14.24","Cocaine dependence with cocaine-induced mood disorder","DrugDependence"
"F14.250","Cocaine dependence with cocaine-induced psychotic disorder with delusions","DrugDependence"
"F14.251","Cocaine dependence with cocaine-induced psychotic disorder with hallucinations","DrugDependence"
"F14.259","Cocaine dependence with cocaine-induced psychotic disorder, unspecified","DrugDependence"
"F14.280","Cocaine dependence with cocaine-induced anxiety disorder","DrugDependence"
"F14.281","Cocaine dependence with cocaine-induced sexual dysfunction","DrugDependence"
"F14.282","Cocaine dependence with cocaine-induced sleep disorder","DrugDependence"
"F14.288","Cocaine dependence with other cocaine-induced disorder","DrugDependence"
"F14.29","Cocaine dependence with unspecified cocaine-induced disorder","DrugDependence"
"F15.20","Other stimulant dependence, uncomplicated","DrugDependence"
"F15.21","Other stimulant dependence, in remission","DrugDependence"
"F15.220","Other stimulant dependence with intoxication, uncomplicated","DrugDependence"
"F15.221","Other stimulant dependence with intoxication delirium","DrugDependence"
"F15.222","Other stimulant dependence with intoxication with perceptual disturbance","DrugDependence"
"F15.229","Other stimulant dependence with intoxication, unspecified","DrugDependence"
"F15.23","Other stimulant dependence with withdrawal","DrugDependence"
"F15.24","Other stimulant dependence with stimulant-induced mood disorder","DrugDependence"
"F15.250","Other stimulant dependence with stimulant-induced psychotic disorder with delusions","DrugDependence"
"F15.251","Other stimulant dependence with stimulant-induced psychotic disorder with hallucinations","DrugDependence"
"F15.259","Other stimulant dependence with stimulant-induced psychotic disorder, unspecified","DrugDependence"
"F15.280","Other stimulant dependence with stimulant-induced anxiety disorder","DrugDependence"
"F15.281","Other stimulant dependence with stimulant-induced sexual dysfunction","DrugDependence"
"F15.282","Other stimulant dependence with stimulant-induced sleep disorder","DrugDependence"
"F15.288","Other stimulant dependence with other stimulant-induced disorder","DrugDependence"
"F15.29","Other stimulant dependence with unspecified stimulant-induced disorder","DrugDependence"
"F16.20","Hallucinogen dependence, uncomplicated","DrugDependence"
"F16.21","Hallucinogen dependence, in remission","DrugDependence"
"F16.220","Hallucinogen dependence with intoxication, uncomplicated","DrugDependence"
"F16.221","Hallucinogen dependence with intoxication with delirium","DrugDependence"
"F16.229","Hallucinogen dependence with intoxication, unspecified","DrugDependence"
"F16.24","Hallucinogen dependence with hallucinogen-induced mood disorder","DrugDependence"
"F16.250","Hallucinogen dependence with hallucinogen-induced psychotic disorder with delusions","DrugDependence"
"F16.251","Hallucinogen dependence with hallucinogen-induced psychotic disorder with hallucinations","DrugDependence"
"F16.259","Hallucinogen dependence with hallucinogen-induced psychotic disorder, unspecified","DrugDependence"
"F16.280","Hallucinogen dependence with hallucinogen-induced anxiety disorder","DrugDependence"
"F16.283","Hallucinogen dependence with hallucinogen persisting perception disorder (flashbacks)","DrugDependence"
"F16.288","Hallucinogen dependence with other hallucinogen-induced disorder","DrugDependence"
"F16.29","Hallucinogen dependence with unspecified hallucinogen-induced disorder","DrugDependence"
"F17.200","Nicotine dependence, unspecified, uncomplicated","DrugDependence"
"F17.201","Nicotine dependence, unspecified, in remission","DrugDependence"
"F17.203","Nicotine dependence unspecified, with withdrawal","DrugDependence"
"F17.208","Nicotine dependence, unspecified, with other nicotine-induced disorders","DrugDependence"
"F17.209","Nicotine dependence, unspecified, with unspecified nicotine-induced disorders","DrugDependence"
"F17.210","Nicotine dependence, cigarettes, uncomplicated","DrugDependence"
"F17.211","Nicotine dependence, cigarettes, in remission","DrugDependence"
"F17.213","Nicotine dependence, cigarettes, with withdrawal","DrugDependence"
"F17.218","Nicotine dependence, cigarettes, with other nicotine-induced disorders","DrugDependence"
"F17.219","Nicotine dependence, cigarettes, with unspecified nicotine-induced disorders","DrugDependence"
"F17.220","Nicotine dependence, chewing tobacco, uncomplicated","DrugDependence"
"F17.221","Nicotine dependence, chewing tobacco, in remission","DrugDependence"
"F17.223","Nicotine dependence, chewing tobacco, with withdrawal","DrugDependence"
"F17.228","Nicotine dependence, chewing tobacco, with other nicotine-induced disorders","DrugDependence"
"F17.229","Nicotine dependence, chewing tobacco, with unspecified nicotine-induced disorders","DrugDependence"
"F17.290","Nicotine dependence, other tobacco product, uncomplicated","DrugDependence"
"F17.291","Nicotine dependence, other tobacco product, in remission","DrugDependence"
"F17.293","Nicotine dependence, other tobacco product, with withdrawal","DrugDependence"
"F17.298","Nicotine dependence, other tobacco product, with other nicotine-induced disorders","DrugDependence"
"F17.299","Nicotine dependence, other tobacco product, with unspecified nicotine-induced disorders","DrugDependence"
"F18.20","Inhalant dependence, uncomplicated","DrugDependence"
"F18.21","Inhalant dependence, in remission","DrugDependence"
"F18.220","Inhalant dependence with intoxication, uncomplicated","DrugDependence"
"F18.221","Inhalant dependence with intoxication delirium","DrugDependence"
"F18.229","Inhalant dependence with intoxication, unspecified","DrugDependence"
"F18.24","Inhalant dependence with inhalant-induced mood disorder","DrugDependence"
"F18.251","Inhalant dependence with inhalant-induced psychotic disorder with hallucinations","DrugDependence"
"F18.259","Inhalant dependence with inhalant-induced psychotic disorder, unspecified","DrugDependence"
"F18.280","Inhalant dependence with inhalant-induced anxiety disorder","DrugDependence"
"F18.288","Inhalant dependence with other inhalant-induced disorder","DrugDependence"
"F18.29","Inhalant dependence with unspecified inhalant-induced disorder","DrugDependence"
"F19.20","Other psychoactive substance dependence, uncomplicated","DrugDependence"
"F19.21","Other psychoactive substance dependence, in remission","DrugDependence"
"F19.220","Other psychoactive substance dependence with intoxication, uncomplicated","DrugDependence"
"F19.221","Other psychoactive substance dependence with intoxication delirium","DrugDependence"
"F19.222","Other psychoactive substance dependence with intoxication with perceptual disturbance","DrugDependence"
"F19.229","Other psychoactive substance dependence with intoxication, unspecified","DrugDependence"
"F19.230","Other psychoactive substance dependence with withdrawal, uncomplicated","DrugDependence"
"F19.231","Other psychoactive substance dependence with withdrawal delirium","DrugDependence"
"F19.232","Other psychoactive substance dependence with withdrawal with perceptual disturbance","DrugDependence"
"F19.239","Other psychoactive substance dependence with withdrawal, unspecified","DrugDependence"
"F19.24","Other psychoactive substance dependence with psychoactive substance-induced mood disorder","DrugDependence"
"F19.250","Other psychoactive substance dependence with psychoactive substance-induced psychotic disorder with delusions","DrugDependence"
"F19.251","Other psychoactive substance dependence with psychoactive substance-induced psychotic disorder with hallucinations","DrugDependence"
"F19.259","Other psychoactive substance dependence with psychoactive substance-induced psychotic disorder, unspecified","DrugDependence"
"F19.27","Other psychoactive substance dependence with psychoactive substance-induced persisting dementia","DrugDependence"
