"ICD9Code","ICD9Description","Comorbidity"
"649.02","TOBACCO USE DISORDER COMPLICATING PREGNANCY, CHILDBIRTH, OR THE PUERPERIUM, DELIVERED, WITH MENTION OF POSTPARTUM COMPLICATION","Smoking"
"989.84","TOXIC EFFECT OF TOBACCO","Smoking"
"E869.4","ACCIDENTAL POISONING BY SECOND-HAND SMOKE","Smoking"
"V15.82","HISTORY OF TOBACCO USE","Smoking"
"E950.0","SUICIDE AND SELF-INFLICTED POISONING BY ANALGESICS, ANTIPYRETICS, AND ANTIRHEUMATICS","SuicideIdeationOrAttempt"
"E950.1","SUICIDE AND SELF-INFLICTED POISONING BY BARBITURATES","SuicideIdeationOrAttempt"
"E950.2","SUICIDE AND SELF-INFLICTED POISONING BY OTHER SEDATIVES AND HYPNOTICS","SuicideIdeationOrAttempt"
"E950.3","SUICIDE AND SELF-INFLICTED POISONING BY TRANQUILIZERS AND OTHER PSYCHOTROPIC AGENTS","SuicideIdeationOrAttempt"
"E950.4","SUICIDE AND SELF-INFLICTED POISONING BY OTHER SPECIFIED DRUGS AND MEDICINAL SUBSTANCES","SuicideIdeationOrAttempt"
"E950.5","SUICIDE AND SELF-INFLICTED POISONING BY UNSPECIFIED DRUG OR MEDICINAL SUBSTANCE","SuicideIdeationOrAttempt"
"E950.6","SUICIDE AND SELF-INFLICTED POISONING BY AGRICULTURAL AND HORTICULTURAL CHEMICAL AND PHARMACEUTICAL PREPARATIONS OTHER","SuicideIdeationOrAttempt"
"E950.7","SUICIDE AND SELF-INFLICTED POISONING BY CORROSIVE AND CAUSTIC SUBSTANCES","SuicideIdeationOrAttempt"
"E950.8","SUICIDE AND SELF-INFLICTED POISONING BY ARSENIC AND ITS COMPOUNDS","SuicideIdeationOrAttempt"
"E950.9","SUICIDE AND SELF-INFLICTED POISONING BY OTHER AND UNSPECIFIED SOLID AND LIQUID SUBSTANCES","SuicideIdeationOrAttempt"
"E951.0","SUICIDE AND SELF-INFLICTED POISONING BY GAS DISTRIBUTED BY PIPELINE","SuicideIdeationOrAttempt"
"E951.1","SUICIDE AND SELF-INFLICTED POISONING BY LIQUEFIED PETROLEUM GAS DISTRIBUTED IN MOBILE CONTAINERS","SuicideIdeationOrAttempt"
"E951.8","SUICIDE AND SELF-INFLICTED POISONING BY OTHER UTILITY GAS","SuicideIdeationOrAttempt"
"E952.0","SUICIDE AND SELF-INFLICTED POISONING BY MOTOR VEHICLE EXHAUST GAS","SuicideIdeationOrAttempt"
"E952.1","SUICIDE AND SELF-INFLICTED POISONING BY OTHR CARBON MONOXIDE","SuicideIdeationOrAttempt"
"E952.8","SUICIDE AND SELF-INFLICTED POISONING BY OTHER SPECIFIED GASES AND VAPORS","SuicideIdeationOrAttempt"
"E952.9","SUICIDE AND SELF-INFLICTED POISONING BY UNSPECIFIED GASES AND VAPORS","SuicideIdeationOrAttempt"
"E953.0","SUICIDE AND SELF-INFLICTED INJURY BY HANGING","SuicideIdeationOrAttempt"
"E953.1","SUICIDE AND SELF-INFLICTED INJURY BY SUFFOCATION BY PLASTIC BAG","SuicideIdeationOrAttempt"
"E953.8","SUICIDE AND SELF-INFLICTED INJURY BY OTHER SPECIFIED MEANS","SuicideIdeationOrAttempt"
"E953.9","SUICIDE AND SELF-INFLICTED INJURY BY UNSPECIFIED MEANS","SuicideIdeationOrAttempt"
"E954.","SUICIDE AND SELF-INFLICTED INJURY BY SUBMERSION (DROWNING)","SuicideIdeationOrAttempt"
"E955.0","SUICIDE AND SELF-INFLICTED INJURY BY HANDGUN","SuicideIdeationOrAttempt"
"E955.1","SUICIDE AND SELF-INFLICTED INJURY BY SHOTGUN","SuicideIdeationOrAttempt"
"E955.2","SUICIDE AND SELF-INFLICTED INJURY BY HUNTING RIFLE","SuicideIdeationOrAttempt"
"E955.3","SUICIDE AND SELF-INFLICTED INJURY BY MILITARY FIREARMS","SuicideIdeationOrAttempt"
"E955.4","SUICIDE AND SELF-INFLICTED INJURY BY OTHER AND UNSPECIFIED FIREARM","SuicideIdeationOrAttempt"
"E955.6","SUICIDE AND SELF-INFLICTED INJURY BY AIR GUN","SuicideIdeationOrAttempt"
"E955.7","SUICIDE AND SELF-INFLICTED INJURY BY FIREARMS, AIR GUNS AND EXPLOSIVES, PAINTBALL GUN","SuicideIdeationOrAttempt"
"E955.9","SUICIDE AND SELF-INFLICTED INJURY BY FIREARMS AND EXPLOSIVES, UNSPECIFIED","SuicideIdeationOrAttempt"
"E956.","SUICIDE AND SELF-INFLICTED INJURY BY CUTTING AND PIERCING INSTRUMENT","SuicideIdeationOrAttempt"
"E957.0","SUICIDE AND SELF-INFLICTED INJURIES BY JUMPING FROM RESIDENTIAL PREMISES","SuicideIdeationOrAttempt"
"E957.1","SUICIDE AND SELF-INFLICTED INJURIES BY JUMPING FROM OTHER MAN-MADE STRUCTURES","SuicideIdeationOrAttempt"
"E957.2","SUICIDE AND SELF-INFLICTED INJURIES BY JUMPING FROM NATURAL SITES","SuicideIdeationOrAttempt"
"E957.9","SUICIDE AND SELF-INFLICTED INJURIES BY JUMPING FROM UNSPECIFIED SITE","SuicideIdeationOrAttempt"
"E958.0","SUICIDE AND SELF-INFLICTED INJURY BY JUMPING OR LYING BEFORE MOVING OBJECT","SuicideIdeationOrAttempt"
"E958.1","SUICIDE AND SELF-INFLICTED INJURY BY BURNS, FIRE","SuicideIdeationOrAttempt"
"E958.2","SUICIDE AND SELF-INFLICTED INJURY BY SCALD","SuicideIdeationOrAttempt"
"E958.3","SUICIDE AND SELF-INFLICTED INJURY BY EXTREMES OF COLD","SuicideIdeationOrAttempt"
"E958.4","SUICIDE AND SELF-INFLICTED INJURY BY ELECTROCUTION","SuicideIdeationOrAttempt"
"E958.5","SUICIDE AND SELF-INFLICTED INJURY BY CRASHING OF MOTOR VEHICLE","SuicideIdeationOrAttempt"
"E958.6","SUICIDE AND SELF-INFLICTED INJURY BY CRASHING OF AIRCRAFT","SuicideIdeationOrAttempt"
"E958.7","SUICIDE AND SELF-INFLICTED INJURY BY CAUSTIC SUBSTANCES, EXCEPT POISONING","SuicideIdeationOrAttempt"
"E958.8","SUICIDE AND SELF-INFLICTED INJURY BY OTHER SPECIFIED MEANS","SuicideIdeationOrAttempt"
"E958.9","SUICIDE AND SELF-INFLICTED INJURY BY UNSPECIFIED MEANS","SuicideIdeationOrAttempt"
"E959.","LATE EFFECTS OF SELF-INFLICTED INJURY","SuicideIdeationOrAttempt"
"V62.84","SUICIDAL IDEATION","SuicideIdeationOrAttempt"
"800.00","CLOSED FRACTURE OF VAULT OF SKULL WITHOUT MENTION OF INTRACRANIAL INJURY, WITH STATE OF CONSCIOUSNESS UNSPECIFIED","TBI"
"800.01","CLOSED FRACTURE OF VAULT OF SKULL WITHOUT MENTION OF INTRACRANIAL INJURY, WITH NO LOSS OF CONSCIOUSNESS","TBI"
"800.02","CLOSED FRACTURE OF VAULT OF SKULL WITHOUT MENTION OF INTRACRANIAL INJURY, WITH BRIEF (LESS THAN ONE HOUR) LOSS OF","TBI"
"800.03","CLOSED FRACTURE OF VAULT OF SKULL WITHOUT MENTION OF INTRACRANIAL INJURY, WITH MODERATE (1-24 HOURS) LOSS OF","TBI"
"800.04","CLOSED FRACTURE OF VAULT OF SKULL WITHOUT MENTION OF INTRACRANIAL INJURY, WITH PROLONGED (MORE THAN 24 HOURS) LOSS","TBI"
"800.05","CLOSED FRACTURE OF VAULT OF SKULL WITHOUT MENTION OF INTRACRANIAL INJURY, WITH PROLONGED (MORE THAN 24 HOURS) LOSS","TBI"
"800.06","CLOSED FRACTURE OF VAULT OF SKULL WITHOUT MENTION OF INTRA- CRANIAL INJURY, WITH LOSS OF CONSCIOUSNESS OF UNSPECIFIED","TBI"
